date,dau,new_users,non_new_active_users,new_user_share,sessions,events,sessions_per_user,events_per_user
2020-11-01,2365,1946,419,0.82283298097251589,2625,31272,1.109936575052854,13.222832980972516
2020-11-02,3262,2485,777,0.7618025751072961,3726,48388,1.1422440220723482,14.833844267320663
2020-11-03,4648,3665,983,0.78851118760757311,5347,61672,1.1503872633390706,13.268502581755595
2020-11-04,3734,2847,887,0.76245313336904119,4325,51866,1.1582753079807178,13.890198178896625
2020-11-05,3272,2412,860,0.73716381418092913,3840,51952,1.17359413202934,15.877750611246944
2020-11-06,2813,2025,788,0.71987202275151085,3319,49004,1.1798791325986491,17.420547458229649
2020-11-07,2004,1546,458,0.77145708582834327,2271,34309,1.1332335329341316,17.120259481037923
2020-11-08,1919,1520,399,0.79207920792079212,2163,30137,1.1271495570609693,15.704533611255862
2020-11-09,2805,2085,720,0.74331550802139035,3271,44756,1.1661319073083778,15.955793226381461
2020-11-10,3260,2452,808,0.75214723926380367,3824,51195,1.173006134969325,15.70398773006135
2020-11-11,3296,2443,853,0.74120145631067957,3809,51941,1.1556432038834952,15.75879854368932
2020-11-12,3179,2272,907,0.71469015413652093,3693,49166,1.1616860648002516,15.465869770368041
2020-11-13,2860,2150,710,0.75174825174825177,3338,50358,1.1671328671328671,17.607692307692307
2020-11-14,2076,1622,454,0.7813102119460501,2360,34039,1.1368015414258188,16.396435452793835
2020-11-15,1957,1566,391,0.80020439448134906,2213,31195,1.1308124680633622,15.940214614205416
2020-11-16,3085,2334,751,0.75656401944894647,3532,49320,1.1448946515397083,15.987034035656402
2020-11-17,3449,2561,888,0.74253406784575238,4063,59789,1.1780226152507973,17.33516961438098
2020-11-18,3505,2636,869,0.75206847360912976,4126,55456,1.1771754636233951,15.821968616262483
2020-11-19,3566,2689,877,0.7540661805945037,4189,53932,1.1747055524397083,15.123948401570386
2020-11-20,3477,2626,851,0.75524877768190968,4127,57894,1.186942766752948,16.650560828300257
2020-11-21,2755,2173,582,0.78874773139745913,3190,41980,1.1578947368421053,15.237749546279492
2020-11-22,2359,1887,472,0.7999152183128444,2687,36446,1.1390419669351419,15.449766850360323
2020-11-23,3421,2640,781,0.77170418006430863,3960,52844,1.157556270096463,15.446945337620578
2020-11-24,3821,2741,1080,0.71735147867050508,4422,62971,1.1572886678879875,16.480240774666317
2020-11-25,3988,2895,1093,0.72592778335005015,4604,64469,1.1544633901705115,16.165747241725175
2020-11-26,3626,2878,748,0.79371207942636512,4177,54681,1.1519580805295091,15.080253723110866
2020-11-27,3512,2808,704,0.79954441913439633,3977,54254,1.1324031890660593,15.448177676537586
2020-11-28,3010,2452,558,0.81461794019933553,3387,44643,1.125249169435216,14.831561461794021
2020-11-29,2887,2320,567,0.803602355386214,3253,42169,1.1267751991686872,14.606511950121233
2020-11-30,3971,3058,913,0.77008310249307477,4583,70614,1.1541173507932512,17.782422563586
2020-12-01,4308,3302,1006,0.7664809656453111,4983,71804,1.1566852367688023,16.667595171773446
2020-12-02,4101,3184,917,0.77639600097537187,4801,66832,1.1706900755913192,16.296513045598633
2020-12-03,4464,3512,952,0.78673835125448033,5182,71689,1.16084229390681,16.059363799283155
2020-12-04,4131,3247,884,0.78600823045267487,4714,69393,1.141128056160736,16.798111837327525
2020-12-05,3082,2489,593,0.80759247242050614,3498,49528,1.1349772874756652,16.070084360804671
2020-12-06,2948,2403,545,0.81512890094979651,3327,42828,1.1285617367706919,14.527815468113976
