cohort_date,activity_date,day_number,cohort_users,retained_users,retention_rate
2020-11-01,2020-11-01,0,1946,1946,1.0
2020-11-01,2020-11-02,1,1946,65,0.03340184994861254
2020-11-01,2020-11-03,2,1946,22,0.011305241521068859
2020-11-01,2020-11-04,3,1946,13,0.0066803699897225073
2020-11-01,2020-11-05,4,1946,12,0.0061664953751284684
2020-11-01,2020-11-06,5,1946,12,0.0061664953751284684
2020-11-01,2020-11-07,6,1946,11,0.0056526207605344294
2020-11-01,2020-11-08,7,1946,11,0.0056526207605344294
2020-11-01,2020-11-09,8,1946,3,0.0015416238437821171
2020-11-01,2020-11-10,9,1946,5,0.0025693730729701952
2020-11-01,2020-11-11,10,1946,9,0.0046248715313463515
2020-11-01,2020-11-12,11,1946,8,0.0041109969167523125
2020-11-01,2020-11-13,12,1946,3,0.0015416238437821171
2020-11-01,2020-11-14,13,1946,4,0.0020554984583761563
2020-11-01,2020-11-15,14,1946,9,0.0046248715313463515
2020-11-01,2020-11-16,15,1946,2,0.0010277492291880781
2020-11-01,2020-11-17,16,1946,3,0.0015416238437821171
2020-11-01,2020-11-18,17,1946,2,0.0010277492291880781
2020-11-01,2020-11-19,18,1946,5,0.0025693730729701952
2020-11-01,2020-11-20,19,1946,5,0.0025693730729701952
2020-11-01,2020-11-21,20,1946,5,0.0025693730729701952
2020-11-01,2020-11-22,21,1946,2,0.0010277492291880781
2020-11-01,2020-11-23,22,1946,4,0.0020554984583761563
2020-11-01,2020-11-24,23,1946,2,0.0010277492291880781
2020-11-01,2020-11-25,24,1946,1,0.00051387461459403907
2020-11-01,2020-11-26,25,1946,1,0.00051387461459403907
2020-11-01,2020-11-27,26,1946,1,0.00051387461459403907
2020-11-01,2020-11-28,27,1946,2,0.0010277492291880781
2020-11-01,2020-11-29,28,1946,4,0.0020554984583761563
2020-11-01,2020-11-30,29,1946,1,0.00051387461459403907
2020-11-01,2020-12-01,30,1946,1,0.00051387461459403907
2020-11-02,2020-11-02,0,2485,2485,1.0
2020-11-02,2020-11-03,1,2485,130,0.052313883299798795
2020-11-02,2020-11-04,2,2485,54,0.021730382293762576
2020-11-02,2020-11-05,3,2485,36,0.014486921529175051
2020-11-02,2020-11-06,4,2485,22,0.0088531187122736412
2020-11-02,2020-11-07,5,2485,9,0.0036217303822937627
2020-11-02,2020-11-08,6,2485,8,0.0032193158953722333
2020-11-02,2020-11-09,7,2485,15,0.0060362173038229373
2020-11-02,2020-11-10,8,2485,16,0.0064386317907444666
2020-11-02,2020-11-11,9,2485,12,0.00482897384305835
2020-11-02,2020-11-12,10,2485,15,0.0060362173038229373
2020-11-02,2020-11-13,11,2485,11,0.0044265593561368206
2020-11-02,2020-11-14,12,2485,3,0.0012072434607645875
