source,medium,new_users,sessions,d1_retention_rate,d7_retention_rate,purchase_users,valid_order_users,orders,purchase_conversion_rate,revenue_usd,revenue_per_user,average_order_value,eligible_new_users,purchase_users_7d,purchase_conversion_d0_d7,orders_d0_d7,revenue_d0_d7,revenue_per_user_d0_d7,average_order_value_d0_d7
google,organic,90277,116834,0.0418933562722733,0.0071047321098069187,1249,1090,1299,0.013835196118612714,87235.0,0.96630370969349888,67.155504234026168,83747,995,0.011881022603794762,1000,66551.0,0.79466727166346263,66.551
(direct),(none),61338,79775,0.043433247880102541,0.0063110892342310666,829,704,838,0.013515276011607812,56318.0,0.91815840099122892,67.205250596658715,56884,661,0.01162013923071514,673,43542.0,0.7654524998242036,64.69836552748886
<Other>,<Other>,46433,59651,0.041574399722113672,0.0064775260029717686,640,547,636,0.013783300669782266,43226.0,0.930932741800013,67.965408805031444,43072,517,0.012003157503714711,501,33170.0,0.77010586924219915,66.207584830339314
<Other>,referral,23895,30941,0.042529851061136659,0.0074287515195173561,314,268,303,0.013140824440259468,21708.0,0.90847457627118644,71.643564356435647,22211,253,0.011390752329926613,249,18741.0,0.84377110440772585,75.265060240963862
google,cpc,14103,18331,0.044474683091026285,0.0065865053228153477,204,169,191,0.01446500744522442,14757.0,1.0463731121038078,77.261780104712045,13057,161,0.012330550662479896,144,10771.0,0.82492149804702464,74.798611111111114
shop.googlemerchandisestore.com,referral,12747,16222,0.042415130173300626,0.0056760420196543546,158,131,151,0.012395073350592296,12621.0,0.99011532125205926,83.58278145695364,11804,125,0.010589630633683497,118,9039.0,0.765757370382921,76.601694915254242
<Other>,organic,8483,11034,0.040123456790123455,0.0066343454963000764,116,97,123,0.013674407638807026,7514.0,0.88577154308617234,61.08943089430894,7838,87,0.011099770349578974,88,5324.0,0.67925491196733856,60.5
(data deleted),(data deleted),36,47,0.057142857142857141,0.0,1,1,1,0.027777777777777776,51.0,1.4166666666666667,51.0,34,1,0.029411764705882353,1,51.0,1.5,51.0
<Other>,(data deleted),1,1,0.0,0.0,0,0,0,0.0,0.0,0.0,,1,0,0.0,0,0.0,0.0,
google,<Other>,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0,,1,0,0.0,0,0.0,0.0,
