source,medium,new_users,sessions,purchase_users,valid_order_users,orders,revenue_usd,purchase_conversion_rate,valid_order_user_rate,revenue_per_user,average_order_value,d1_retention_rate,d7_retention_rate
google,organic,90277,116834,1249,1090,1299,87235.0,0.013835196118612714,0.012073950175570744,0.96630370969349888,67.155504234026168,0.0418933562722733,0.0071047321098069187
(direct),(none),61338,79775,829,704,838,56318.0,0.013515276011607812,0.011477387590074668,0.91815840099122892,67.205250596658715,0.043433247880102541,0.0063110892342310666
<Other>,<Other>,46433,59651,640,547,636,43226.0,0.013783300669782266,0.011780414791204532,0.930932741800013,67.965408805031444,0.041574399722113672,0.0064775260029717686
<Other>,referral,23895,30941,314,268,303,21708.0,0.013140824440259468,0.011215735509520821,0.90847457627118644,71.643564356435647,0.042529851061136659,0.0074287515195173561
google,cpc,14103,18331,204,169,191,14757.0,0.01446500744522442,0.011983265971779055,1.0463731121038078,77.261780104712045,0.044474683091026285,0.0065865053228153477
shop.googlemerchandisestore.com,referral,12747,16222,158,131,151,12621.0,0.012395073350592296,0.010276927904605005,0.99011532125205926,83.58278145695364,0.042415130173300626,0.0056760420196543546
<Other>,organic,8483,11034,116,97,123,7514.0,0.013674407638807026,0.011434633973830013,0.88577154308617234,61.08943089430894,0.040123456790123455,0.0066343454963000764
(data deleted),(data deleted),36,47,1,1,1,51.0,0.027777777777777776,0.027777777777777776,1.4166666666666667,51.0,0.057142857142857141,0.0
<Other>,(data deleted),1,1,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0
google,<Other>,1,1,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0
